trip_distance,duration_seconds,MPH
13.39,1057,45.60454232352121
19.95,1575,45.600001743861604
17.91,1414,45.59830229892758
20.1,1587,45.59546400333397
14.89,1176,45.581633704049246
27.12,2142,45.57983334324941
13.95,1102,45.571687217200086
3.87,306,45.52941041834214
19.87,1572,45.50381871580168
19.4,1535,45.49837044085276
10.51,832,45.475962528815636
3.6,285,45.47368300588508
16.37,1296,45.47222455342611
14.7,1164,45.46391693587156
10.48,830,45.455419701265996
9.81,777,45.45173939590749
17.27,1368,45.447369625693874
25.58,2027,45.430685606976716
6.61,524,45.41221465773255
26.9,2134,45.37956824119447
48.97,3886,45.36593010667299
12.8,1016,45.35433138449361
19.23,1527,45.3359517695159
20.98,1666,45.334932984424235
19.38,1539,45.333331370214275
17.25,1370,45.32846715328468
31.71,2519,45.317982018301535
18.35,1458,45.3086429172092
26.56,2111,45.294172466789476
13.8,1097,45.28714738983182
22.24,1768,45.28506740725418
15.12,1202,45.284525447597915
4.94,393,45.25190892110344
27.07,2155,45.221345197850205
20.42,1626,45.210332272237515
19.46,1551,45.168276404965546
22.98,1832,45.157204340639076
7.94,633,45.156398429689816
27.48,2191,45.15198464265212
19.66,1568,45.137754751711476
16.22,1294,45.12519128908514
48.71,3887,45.11345425883755
23.34,1863,45.10144957021815
26.37,2107,45.05553062232569
36.23,2895,45.05284917169284
11.21,896,45.04017872469766
15.8,1263,45.03562999734403
24.48,1957,45.03219128873315
14.26,1140,45.03157967015317
14.02,1121,45.02408710789404
22.38,1790,45.01005417807808
14.2,1136,44.99999939555853
10.31,825,44.9890927401456
15.67,1254,44.98564615204003
28.49,2281,44.96448889786295
21.72,1739,44.96377086145841
11.94,956,44.96234151608775
11.8,945,44.95238167898995
26.77,2144,44.949627634304676
15.5,1242,44.92753623188406
10.27,823,44.923452792161875
28.57,2290,44.91353663815161
16.33,1309,44.91061858314881
17.19,1378,44.90856453019406
19.5,1564,44.8849104859335
11.27,904,44.880532796404005
15.82,1269,44.87943175836658
8.7,698,44.871059188186955
17.38,1395,44.851610737462195
20.93,1680,44.8500006539481
36.41,2923,44.84296936390133
9.79,786,44.83969448176959
13.55,1088,44.834559454637414
15.59,1252,44.82747647708978
7.93,637,44.81632556046946
19.47,1564,44.81585519697965
22.98,1846,44.81473366849988
21.19,1703,44.793894258724265
27.91,2244,44.77540082472531
